 0	 45     90      135    180    225     270    315

292	325	350	 66	165	205	240	267
293	326	352	 68	166	206	241	268
293	326	353	 70	167	207	241	268
294	327	355	 73	168	207	242	269
295	327	357	 75	169	208	242	269
296	328	358	 77	169	209	243	270
296	328	  0	 79	170	210	244	270
297	329	  2	 81	171	210	244	271
298	329	  4	 84	172	211	245	271
299	330	  5	 86	173	212	245	272
299	331	  7	 88	174	213	246	273
300	331	  9	 90	175	214	247	273
301	332	 10	 92	176	214	247	274
302	332	 12	 95	177	215	248	274
302	333	 14	 97	177	216	248	275
303	333	 15	 99	178	217	249	275
304	334	 17	101	179	217	250	276
304	334	 19	103	180	218	250	276
305	335	 20	106	181	219	251	277
306	336	 22	108	182	220	251	278
307	336	 24	110	183	221	252	278
307	337	 25	112	184	221	253	279
308	337	 27	114	185	222	253	279
309	338	 29	117	185	223	254	280
310	338	 31	119	186	224	254	280
310	339	 32	121	187	224	255	281
311	339	 34	123	188	225	256	281
312	340	 36	125	189	226	256	282
313	341	 37	128	190	227	257	283
313	341	 39	130	191	228	257	283
314	342	 41	132	192	228	258	284
315	342	 42	134	193	229	259	284
315	343	 44	136	193	230	259	285
316	343	 46	139	194	231	260	285
317	344	 47	141	195	231	260	286
318	344	 49	143	196	232	261	286
318	345	 51	145	197	233	262	287
319	346	 52	147	198	234	262	288
320	346	 54	150	199	235	263	288
321	347	 56	152	200	235	263	289
321	347	 58	154	201	236	264	289
322	348	 59	156	201	237	265	290
323	348	 61	158	202	238	265	290
324	349	 63	161	203	238	266	291
324	349	 64	163	204	239	266	291
